player_id,player,pos,team,url
AiyuBr00,Brandon Aiyuk,WR,SFO,https://www.pro-football-reference.com/req/20180910/images/headshots/AiyuBr00_2022.jpg
GrifRy00,Ryan Griffin,TE,CHI,https://www.pro-football-reference.com/req/20180910/images/headshots/GrifRy00_2022.jpg
McClRa00,Ray-Ray McCloud,WR,SFO,https://www.pro-football-reference.com/req/20180910/images/headshots/McClRa00_2022.jpg
DwelRo00,Ross Dwelley,TE,SFO,https://www.pro-football-reference.com/req/20180910/images/headshots/DwelRo00_2022.jpg
KrofTy00,Tyler Kroft,TE,SFO,https://www.pro-football-reference.com/req/20180910/images/headshots/KrofTy00_2022.jpg
JuszKy00,Kyle Juszczyk,FB,SFO,https://www.pro-football-reference.com/req/20180910/images/headshots/JuszKy00_2022.jpg
FielJu00,Justin Fields,QB,CHI,https://www.pro-football-reference.com/req/20180910/images/headshots/FielJu00_2022.jpg
HerbKh00,Khalil Herbert,RB,CHI,https://www.pro-football-reference.com/req/20180910/images/headshots/HerbKh00_2022.jpg
MontDa01,David Montgomery,RB,CHI,https://www.pro-football-reference.com/req/20180910/images/headshots/MontDa01_2022.jpg
PettDa00,Dante Pettis,WR,CHI,https://www.pro-football-reference.com/req/20180910/images/headshots/PettDa00_2022.jpg
PrinBy00,Byron Pringle,WR,CHI,https://www.pro-football-reference.com/req/20180910/images/headshots/PrinBy00_2022.jpg
St.BEq00,Equanimeous St. Brown,WR,CHI,https://www.pro-football-reference.com/req/20180910/images/headshots/St.BEq00_2022.jpg
MoonDa00,Darnell Mooney,WR,CHI,https://www.pro-football-reference.com/req/20180910/images/headshots/MoonDa00_2022.jpg
KmetCo00,Cole Kmet,TE,CHI,https://www.pro-football-reference.com/req/20180910/images/headshots/KmetCo00_2022.jpg
WoerCh00,Charlie Woerner,TE,SFO,https://www.pro-football-reference.com/req/20180910/images/headshots/WoerCh00_2022.jpg
TurnMa00,Malik Turner,WR,SFO,https://www.pro-football-reference.com/req/20180910/images/headshots/TurnMa00_2022.jpg
BlasKh00,Khari Blasingame,FB,CHI,https://www.pro-football-reference.com/req/20180910/images/headshots/BlasKh00_2022.jpg
TongJa00,Jake Tonges,TE,CHI,https://www.pro-football-reference.com/req/20180910/images/headshots/TongJa00_2022.jpg
EbneTr00,Trestan Ebner,RB,CHI,https://www.pro-football-reference.com/req/20180910/images/headshots/EbneTr00_2022.jpg
SmitIh00,Ihmir Smith-Marsette,WR,CHI,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitIh00_2022.jpg
OlszGu00,Gunner Olszewski,WR,PIT,https://www.pro-football-reference.com/req/20180910/images/headshots/OlszGu00_2022.jpg
WattDe00,Derek Watt,FB,PIT,https://www.pro-football-reference.com/req/20180910/images/headshots/WattDe00_2021.jpg
HeywCo00,Connor Heyward,TE,PIT,https://www.pro-football-reference.com/req/20180910/images/headshots/HeywCo00_2022.jpg
TaylTr02,Trent Taylor,WR,CIN,https://www.pro-football-reference.com/req/20180910/images/headshots/TaylTr02_2022.jpg
MorgSt02,Stanley Morgan Jr.,WR,CIN,https://www.pro-football-reference.com/req/20180910/images/headshots/MorgSt02_2022.jpg
