Off_abbrev,Def_abbrev,fga,fgm,xpa,xpm,fga_0_39,fgm_0_39,fga_40_49,fgm_40_49,fga_50,fgm_50,player,vis_team,home_team,week
FA,0,0,0,1,1,0,0,0,0,0,0,Cairo Santos,ERROR - abbrev_team,CHI,6
FA,0,0,0,2,2,0,0,0,0,0,0,Robbie Gould,SFO,ATL,6
FA,0,0,0,4,4,0,0,0,0,0,0,Younghoe Koo,SFO,ATL,6
CLE,NWE,3,3,0,0,1,1,1,1,1,1,Cade York,NWE,CLE,6
NWE,CLE,2,1,5,5,1,1,1,0,0,0,Nick Folk,NWE,CLE,6
FA,0,0,0,3,3,0,0,0,0,0,0,Riley Patterson,JAX,IND,6
IND,JAX,2,2,2,2,1,1,1,1,0,0,Chase McLaughlin,JAX,IND,6
GNB,NYJ,2,1,1,1,1,1,1,0,0,0,Mason Crosby,NYJ,GNB,6
NYJ,GNB,3,2,3,3,2,2,0,0,1,0,Greg Zuerlein,NYJ,GNB,6
BUF,KAN,1,1,3,3,1,1,0,0,0,0,Tyler Bass,BUF,KAN,6
KAN,BUF,3,2,2,2,0,0,1,1,2,1,Harrison Butker,BUF,KAN,6
MIA,MIN,2,1,1,1,0,0,1,1,1,0,Jason Sanders,MIN,MIA,6
MIN,MIA,1,1,2,1,1,1,0,0,0,0,Greg Joseph,MIN,MIA,6
NOR,CIN,4,4,2,2,4,4,0,0,0,0,Wil Lutz,CIN,NOR,6
CIN,NOR,1,1,3,3,0,0,0,0,1,1,Evan McPherson,CIN,NOR,6
NYG,BAL,1,1,3,3,0,0,0,0,0,0,Graham Gano,BAL,NYG,6
BAL,NYG,3,2,2,2,2,2,0,0,1,0,Justin Tucker,BAL,NYG,6
FA,0,0,2,2,2,1,1,0,0,1,1,Jake Elliott,DAL,PHI,6
DAL,PHI,2,1,2,2,1,1,0,0,1,0,Brett Maher,DAL,PHI,6
TAM,PIT,4,4,0,0,3,3,0,0,1,1,Ryan Succop,TAM,PIT,6
PIT,TAM,2,2,2,2,1,1,0,0,1,1,Chris Boswell,TAM,PIT,6
CAR,LAR,1,1,1,1,0,0,0,0,0,0,Eddy Pineiro,CAR,LAR,6
LAR,CAR,1,1,3,3,1,1,0,0,0,0,Matt Gay,CAR,LAR,6
SEA,ARI,4,4,1,1,0,0,0,0,0,0,Jason Myers,ARI,SEA,6
ARI,SEA,1,1,1,0,1,1,0,0,0,0,Matt Ammendola,ARI,SEA,6
DEN,LAC,3,3,1,1,1,1,1,1,1,1,Brandon McManus,DEN,LAC,6
LAC,DEN,4,4,1,1,4,4,0,0,0,0,Dustin Hopkins,DEN,LAC,6
ARI,NOR,2,2,3,2,1,1,0,0,1,1,Rodrigo Blankenship,NOR,ARI,7
NOR,ARI,2,2,4,4,0,0,0,0,0,0,Wil Lutz,NOR,ARI,7
TAM,CAR,1,1,0,0,1,1,0,0,0,0,Ryan Succop,TAM,CAR,7
FA,0,0,0,3,3,0,0,0,0,0,0,Eddy Pineiro,TAM,CAR,7
ATL,CIN,1,1,2,2,0,0,1,1,0,0,Younghoe Koo,ATL,CIN,7
FA,0,0,0,5,5,0,0,0,0,0,0,Evan McPherson,ATL,CIN,7
DAL,DET,1,1,3,3,1,1,0,0,0,0,Brett Maher,DET,DAL,7
DET,DAL,2,2,0,0,1,1,0,0,1,1,Michael Badgley,DET,DAL,7
DEN,NYJ,2,1,1,0,0,0,1,1,1,0,Brandon McManus,NYJ,DEN,7
NYJ,DEN,3,3,1,1,1,1,2,2,0,0,Greg Zuerlein,NYJ,DEN,7
JAX,NYG,1,1,1,0,1,1,0,0,0,0,Riley Patterson,NYG,JAX,7
NYG,JAX,3,3,2,2,3,3,0,0,0,0,Graham Gano,NYG,JAX,7
