player_id,pos,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_scrambles,designed_rush_att,comb_pass_rush_play,comb_pass_play,comb_rush_play,Opponent_abbrev,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_target_yds,pass_poor_throws,pass_blitzed,pass_hurried,rush_yds_before_contact,rush_yac,rush_broken_tackles,rec_air_yds,rec_yac,rec_drops,vis_team,home_team,week
OsboKJ00,WR,K.J. Osborn,MIN,0,0,0,0,0,0,0,0,0.0,1,-1,0,-1,2,1,6,0,6,0,0,1,1,0,1,NOR,0,0,0,0,0,0,0,-1,0,0,12.0,0,1,MIN,NOR,4
ElleBe00,TE,Ben Ellefson,MIN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOR,0,0,0,0,0,0,0,0,0,0,0.0,0,0,MIN,NOR,4
HoltJ.01,TE,J.P. Holtz,NOR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,MIN,NOR,4
IngrMa01,RB,Mark Ingram,NOR,0,0,0,0,0,0,0,0,0.0,10,30,0,8,3,3,13,0,7,0,0,10,10,0,10,MIN,0,0,0,0,0,0,0,11,19,2,0.9,12,0,MIN,NOR,4
HillTa00,QB,Taysom Hill,NOR,0,0,0,0,0,0,0,0,0.0,5,21,1,13,0,0,0,0,0,0,0,5,5,0,5,MIN,0,0,0,0,0,0,0,14,7,0,0.0,0,0,MIN,NOR,4
WashDw00,RB,Dwayne Washington,NOR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,MIN,NOR,4
HarrDe07,WR,Deonte Harty,NOR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,MIN,NOR,4
SmitIh00,WR,Ihmir Smith-Marsette,CHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NYG,0,0,0,0,0,0,0,0,0,0,4.0,0,0,CHI,NYG,4
TaylTy00,QB,Tyrod Taylor,NYG,1,3,11,0,1,0,0,11,5.6,3,30,0,13,0,0,0,0,0,0,2,1,6,5,1,CHI,0,0,0,72,0,1,0,24,6,0,0.0,0,0,CHI,NYG,4
BarkSa00,RB,Saquon Barkley,NYG,0,0,0,0,0,0,0,0,0.0,31,146,0,29,2,2,16,0,15,0,0,31,31,0,31,CHI,0,0,0,0,0,0,0,110,36,2,-8.0,24,0,CHI,NYG,4
